,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender,zip_code
3044,FCI WASECA,732,Not Suspended,2023-11-22 10:16:57 PST,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",North Central Region,Waseca,Minnesota,Female,56093
3045,FCI WILLIAMSBURG,1375,Not Suspended,2023-11-22 10:17:13 PST,"8301 HIGHWAY 521, SALTERS, SC 29590",Southeast Region,Williamsburg,South Carolina,Male,29590
3046,FPC YANKTON,436,Not Suspended,2023-11-22 10:17:30 PST,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",North Central Region,Yankton,South Dakota,Male,57078
3047,FCI YAZOO CITY MEDIUM,1439,Not Suspended,2023-11-22 10:17:46 PST,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male,39194
3048,FCI YAZOO CITY LOW,1477,Not Suspended,2023-11-22 10:18:01 PST,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male,39194
3049,USP YAZOO CITY,1511,Not Suspended,2023-11-22 10:18:17 PST,"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male,39194
3050,FPC ALDERSON,703,Not Suspended,2024-04-15 09:11:06 PDT,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Mid-Atlantic Region,GREENBRIER,Southern West Virginia,Female,24910
3051,FCI ALICEVILLE,1560,Not Suspended,2024-04-15 09:11:24 PDT,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Southeast Region,PICKENS,Northern District of Alabama,Female,35442
3052,FCI ALLENWOOD LOW,980,Not Suspended,2024-04-15 09:11:40 PDT,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,UNION,Middle Pennsylvania,Male,17810
3053,FCI ALLENWOOD MEDIUM,1279,Not Suspended,2024-04-15 09:11:55 PDT,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male,17810
3054,USP ALLENWOOD,292,Not Suspended,2024-04-15 09:12:11 PDT,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male,17810
3055,FCI ASHLAND,1269,Not Suspended,2024-04-15 09:12:27 PDT,"ST. ROUTE 716, ASHLAND, KY 41105",Mid-Atlantic Region,BOYD,Eastern Kentucky,Male,41105
3056,USP ATLANTA,1799,Not Suspended,2024-04-15 09:12:43 PDT,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Southeast Region,FULTON,Northern Georgia,Male,30315
3057,USP ATWATER,1168,Not Suspended,2024-04-15 09:12:58 PDT,"1 FEDERAL WAY, ATWATER, CA 95301",Western Region,MERCED,Eastern California,Male,95301
3058,FCI BASTROP,1072,Suspended,2024-04-15 09:13:14 PDT,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",South Central Region,Bastrop,Western Texas,Male,78602
3059,FCI BEAUMONT LOW,2012,Not Suspended,2024-04-15 09:13:30 PDT,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
3060,FCI BEAUMONT MEDIUM,1632,Not Suspended,2024-04-15 09:13:45 PDT,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
3061,USP BEAUMONT,1210,Not Suspended,2024-04-15 09:14:01 PDT,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
3062,FCI BECKLEY,1695,Not Suspended,2024-04-15 09:14:17 PDT,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Mid-Atlantic Region,Raleigh,Southern West Virginia,Male,25813
