,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender,zip_code
0,FPC ALDERSON,695,Not Suspended,2024-03-25 19:34:07 PDT,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Mid-Atlantic Region,GREENBRIER,Southern West Virginia,Female,24910
1,FCI ALICEVILLE,1569,Not Suspended,2024-03-25 19:34:23 PDT,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Southeast Region,PICKENS,Northern District of Alabama,Female,35442
2,FCI ALLENWOOD LOW,976,Not Suspended,2024-03-25 19:34:38 PDT,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,UNION,Middle Pennsylvania,Male,17810
3,FCI ALLENWOOD MEDIUM,1272,Suspended,2024-03-25 19:34:54 PDT,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male,17810
4,USP ALLENWOOD,282,Not Suspended,2024-03-25 19:35:09 PDT,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male,17810
5,FCI ASHLAND,1300,Not Suspended,2024-03-25 19:35:25 PDT,"ST. ROUTE 716, ASHLAND, KY 41105",Mid-Atlantic Region,BOYD,Eastern Kentucky,Male,41105
6,USP ATLANTA,1827,Not Suspended,2024-03-25 19:35:40 PDT,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Southeast Region,FULTON,Northern Georgia,Male,30315
7,USP ATWATER,1155,Not Suspended,2024-03-25 19:35:56 PDT,"1 FEDERAL WAY, ATWATER, CA 95301",Western Region,MERCED,Eastern California,Male,95301
8,FCI BASTROP,1064,Suspended,2024-03-25 19:36:11 PDT,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",South Central Region,Bastrop,Western Texas,Male,78602
9,FCI BEAUMONT LOW,1982,Not Suspended,2024-03-25 19:36:27 PDT,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
10,FCI BEAUMONT MEDIUM,1622,Not Suspended,2024-03-25 19:36:42 PDT,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
11,USP BEAUMONT,1197,Not Suspended,2024-03-25 19:36:58 PDT,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
12,FCI BECKLEY,1663,Not Suspended,2024-03-25 19:37:13 PDT,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Mid-Atlantic Region,Raleigh,Southern West Virginia,Male,25813
13,FCI BENNETTSVILLE,1651,Not Suspended,2024-03-25 19:37:29 PDT,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Southeast Region,Marlboro,South Carolina,Male,29512
14,FCI BERLIN,799,Not Suspended,2024-03-25 19:37:45 PDT,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Northeast Region,COOS COUNTY,District of New Hampshire,Male,03570
15,USP BIG SANDY,1318,Suspended,2024-03-25 19:38:01 PDT,"1197 AIRPORT ROAD, INEZ, KY 41224",Mid-Atlantic Region,Martin,Eastern Kentucky,Male,41224
16,FCI BIG SPRING,1045,Not Suspended,2024-03-25 19:38:16 PDT,"1900 SIMLER AVE, BIG SPRING, TX 79720",South Central Region,HOWARD,Northern Texas,Male,79720
17,MDC BROOKLYN,1369,Suspended,2024-03-25 19:38:32 PDT,"80 29TH STREET, BROOKLYN, NY 11232",Northeast Region,KINGS,Eastern New York,Male and Female,11232
18,FPC BRYAN,680,Not Suspended,2024-03-25 19:38:48 PDT,"1100 URSULINE AVENUE, BRYAN, TX 77803",South Central Region,BRAZOS,Southern Texas,Female,77803
19,FCI BUTNER MEDIUM II,1362,Not Suspended,2024-03-25 19:39:03 PDT,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male,27509
20,FCI BUTNER LOW,941,Not Suspended,2024-03-25 19:39:18 PDT,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male,27509
21,FCI BUTNER MEDIUM I,846,Not Suspended,2024-03-25 19:39:34 PDT,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male,27509
22,FMC BUTNER,835,Not Suspended,2024-03-25 19:39:50 PDT,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,Granville,Eastern North Carolina,Male,27509
23,USP CANAAN,1243,Not Suspended,2024-03-25 19:40:05 PDT,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Northeast Region,WAYNE,Middle Pennsylvania,Male,18472
24,FMC CARSWELL,982,Not Suspended,2024-03-25 19:40:22 PDT,"NAVAL AIR STATION, FORT WORTH, TX 76127",South Central Region,TARRANT,Northern Texas,Female,76127
25,MCC CHICAGO,519,Not Suspended,2024-03-25 19:40:37 PDT,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",North Central Region,COOK,Northern Illinois,Male and Female,60605
26,FCI COLEMAN LOW,2060,Not Suspended,2024-03-25 19:40:53 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male,33521
27,FCI COLEMAN MEDIUM,1559,Suspended,2024-03-25 19:41:08 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male,33521
28,USP COLEMAN II,1128,Not Suspended,2024-03-25 19:41:24 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male,33521
29,USP COLEMAN I,1362,Suspended,2024-03-25 19:41:39 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male,33521
30,FCI CUMBERLAND,1046,Not Suspended,2024-03-25 19:41:55 PDT,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Mid-Atlantic Region,Allegany,Maryland,Male,21502
31,FCI DANBURY,1082,Not Suspended,2024-03-25 19:42:10 PDT,"33 1/2 PEMBROKE STATION, DANBURY, CT 06811",Northeast Region,FAIRFIELD,Connecticut,Male and Female,06811
32,FMC DEVENS,919,Not Suspended,2024-03-25 19:42:26 PDT,"42 PATTON ROAD, AYER, MA 01432",Northeast Region,MIDDLESEX,Massachusetts,Male,01432
33,FCI DUBLIN,639,Not Suspended,2024-03-25 19:42:41 PDT,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",Western Region,Alameda,Northern California,Female,94568
34,FPC DULUTH,511,Not Suspended,2024-03-25 19:42:57 PDT,"4464 RALSTON DRIVE, DULUTH, MN 55811",North Central Region,SAINT LOUIS,Minnesota,Male,55811
35,FCI EDGEFIELD,2023,Not Suspended,2024-03-25 19:43:12 PDT,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",Southeast Region,Edgefield,South Carolina,Male,29824
36,FCI EL RENO,1189,Not Suspended,2024-03-25 19:43:28 PDT,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",South Central Region,CANADIAN,Western Oklahoma,Male,73036
37,FCI ELKTON,1840,Not Suspended,2024-03-25 19:43:43 PDT,"8730 SCROGGS ROAD, LISBON, OH 44432",Northeast Region,COLUMBIANA,Northern Ohio,Male,44432
38,FCI ENGLEWOOD,890,Not Suspended,2024-03-25 19:43:59 PDT,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",North Central Region,JEFFERSON,Colorado,Male,80123
39,FCI ESTILL,65,Not Suspended,2024-03-25 19:44:14 PDT,"100 PRISON ROAD, ESTILL, SC 29918",Southeast Region,HAMPTON,South Carolina,Male,29918
40,FCI FAIRTON,780,Not Suspended,2024-03-25 19:44:30 PDT,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",Northeast Region,Cumberland,New Jersey,Male,08320
41,FCI FLORENCE,1198,Not Suspended,2024-03-25 19:44:45 PDT,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male,81226
42,USP FLORENCE ADMAX,327,Not Suspended,2024-03-25 19:45:01 PDT,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male,81226
43,USP FLORENCE - HIGH,893,Not Suspended,2024-03-25 19:45:17 PDT,"5880 HWY 67 S, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male,81226
44,FCI FORREST CITY MEDIUM,1673,Suspended,2024-03-25 19:45:32 PDT,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male,72335
45,FCI FORREST CITY LOW,1786,Not Suspended,2024-03-25 19:45:48 PDT,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male,72335
46,FCI FORT DIX,3917,Not Suspended,2024-03-25 19:46:03 PDT,"5756 HARTFORD &, JOINT BASE MDL, NJ 08640",Northeast Region,BURLINGTON,New Jersey,Male,08640
47,FMC FORT WORTH,1492,Not Suspended,2024-03-25 19:46:19 PDT,"3150 HORTON ROAD, FORT WORTH, TX 76119",South Central Region,Tarrant,Northern Texas,Male,76119
48,FCI GILMER,1600,Not Suspended,2024-03-25 19:46:34 PDT,"201 FCI LANE, GLENVILLE, WV 26351",Mid-Atlantic Region,GILMER,Northern West Virginia,Male,26351
49,FCI GREENVILLE,1297,Not Suspended,2024-03-25 19:46:50 PDT,"100 U.S. HWY 40, GREENVILLE, IL 62246",North Central Region,Bond,Southern Illinois,Male and Female,62246
50,MDC GUAYNABO,1136,Not Suspended,2024-03-25 19:47:05 PDT,"652 CARRETERA 28, GUAYNABO, PR 00965",Southeast Region,GUAYNABO,"Puerto Rico, U.S. Virgin Islands",Male and Female,00965
51,FCI HAZELTON,2013,Not Suspended,2024-03-25 19:47:21 PDT,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male and Female,26525
52,USP HAZELTON,1394,Suspended,2024-03-25 19:47:36 PDT,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male,26525
53,FCI HERLONG,1391,Suspended,2024-03-25 19:47:52 PDT,"741-925 ACCESS ROAD A-25, HERLONG, CA 96113",Western Region,Lassen,Eastern California,Male,96113
54,FDC HONOLULU,259,Not Suspended,2024-03-25 19:48:07 PDT,"351 ELLIOTT ST, HONOLULU, HI 96819",Western Region,Honolulu,Hawaii,Male and Female,96819
55,FDC HOUSTON,706,Not Suspended,2024-03-25 19:48:23 PDT,"1200 TEXAS AVENUE, HOUSTON, TX 77002",South Central Region,Harris,Southern Texas,Male and Female,77002
56,FCI JESUP,1672,Not Suspended,2024-03-25 19:48:38 PDT,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",Southeast Region,,Southern Georgia,Male,31599
57,FCI LA TUNA,660,Not Suspended,2024-03-25 19:48:54 PDT,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",South Central Region,EL PASO,Western Texas,Male,79821
58,USP LEAVENWORTH,1819,Suspended,2024-03-25 19:49:09 PDT,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",North Central Region,Leavenworth,Kansas,Male,66048
59,USP LEE,1368,Not Suspended,2024-03-25 19:49:25 PDT,"LEE COUNTY INDUSTRIAL PARK, PENNINGTON GAP, VA 24277",Mid-Atlantic Region,Lee,Western Virginia,Male,24277
60,USP LEWISBURG,1043,Not Suspended,2024-03-25 19:49:40 PDT,"2400 ROBERT F. MILLER DRIVE, LEWISBURG, PA 17837",Northeast Region,UNION,Middle Pennsylvania,Male,17837
61,FMC LEXINGTON,1224,Not Suspended,2024-03-25 19:49:56 PDT,"3301 LEESTOWN ROAD, LEXINGTON, KY 40511",Mid-Atlantic Region,Fayette,Eastern Kentucky,Male and Female,40511
62,FCI LOMPOC,894,Not Suspended,2024-03-25 19:50:11 PDT,"3600 GUARD ROAD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male,93436
63,USP LOMPOC,2298,Not Suspended,2024-03-25 19:50:27 PDT,"3901 KLEIN BLVD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male,93436
64,FCI LORETTO,787,Not Suspended,2024-03-25 19:50:42 PDT,"772 SAINT JOSEPH ST., LORETTO, PA 15940",Northeast Region,CAMBRIA,Western Pennsylvania,Male,15940
65,MDC LOS ANGELES,613,Not Suspended,2024-03-25 19:50:58 PDT,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",Western Region,Los Angeles,Central California,Male and Female,90012
66,FCI MANCHESTER,1115,Suspended,2024-03-25 19:51:13 PDT,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",Mid-Atlantic Region,Clay,Eastern Kentucky,Male,40962
67,FCI MARIANNA,1224,Not Suspended,2024-03-25 19:51:30 PDT,"3625 FCI ROAD, MARIANNA, FL 32446",Southeast Region,Jackson,Northern Florida,Male and Female,32446
68,USP MARION,1262,Not Suspended,2024-03-25 19:51:45 PDT,"4500 PRISON ROAD, MARION, IL 62959",North Central Region,Williamson,Southern Illinois,Male,62959
69,USP MCCREARY,1500,Not Suspended,2024-03-25 19:52:01 PDT,"330 FEDERAL WAY, PINE KNOT, KY 42635",Mid-Atlantic Region,McCreary,Eastern Kentucky,Male,42635
70,FCI MCDOWELL,1562,Not Suspended,2024-03-25 19:52:16 PDT,"101 FEDERAL DRIVE, WELCH, WV 24801",Mid-Atlantic Region,MCDOWELL,Southern West Virginia,Male,24801
71,FCI MCKEAN,1091,Not Suspended,2024-03-25 19:52:32 PDT,"6975 ROUTE 59, LEWIS RUN, PA 16738",Northeast Region,MCKEAN,Western Pennsylvania,Male,16738
72,FCI MEMPHIS,1066,Suspended,2024-03-25 19:52:47 PDT,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",Mid-Atlantic Region,SHELBY,Western Tennessee,Male,38134
73,FCI MENDOTA,950,Not Suspended,2024-03-25 19:53:03 PDT,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",Western Region,FRESNO,Eastern District of California,Male,93640
74,FCI MIAMI,1005,Not Suspended,2024-03-25 19:53:19 PDT,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Southeast Region,Miami-Dade,Southern Florida,Male,33177
75,FDC MIAMI,941,Not Suspended,2024-03-25 19:53:34 PDT,"33 NE 4TH STREET, MIAMI, FL 33132",Southeast Region,Miami-Dade,Southern Florida,Male and Female,33132
76,FCI MILAN,1540,Not Suspended,2024-03-25 19:53:50 PDT,"4004 EAST ARKONA ROAD, MILAN, MI 48160",North Central Region,WASHTENAW,Eastern Michigan,Male,48160
77,FPC MONTGOMERY,662,Not Suspended,2024-03-25 19:54:05 PDT,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Southeast Region,MONTGOMERY,Middle Alabama,Male,36112
78,FCI MORGANTOWN,370,Not Suspended,2024-03-25 19:54:21 PDT,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Mid-Atlantic Region,Monongalia,Northern West Virginia,Male,26501
79,MCC NEW YORK,0,Suspended,2024-03-25 19:54:36 PDT,"150 PARK ROW, NEW YORK, NY 10007",Northeast Region,New York,Southern New York,Male,10007
80,FCI OAKDALE II,1122,Not Suspended,2024-03-25 19:54:52 PDT,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male,71463
81,FCI OAKDALE I,824,Not Suspended,2024-03-25 19:55:07 PDT,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male,71463
82,FTC OKLAHOMA CITY,1246,Not Suspended,2024-03-25 19:55:22 PDT,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",South Central Region,OKLAHOMA,Western Oklahoma,Male and Female,73169
83,FCI OTISVILLE,1071,Suspended,2024-03-25 19:55:38 PDT,"TWO MILE DRIVE, OTISVILLE, NY 10963",Northeast Region,ORANGE,Southern New York,Male,10963
84,FCI OXFORD,1066,Not Suspended,2024-03-25 19:55:53 PDT,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",North Central Region,ADAMS,Western Wisconsin,Male,53952
85,FCI PEKIN,1248,Not Suspended,2024-03-25 19:56:09 PDT,"2600 S. SECOND ST., PEKIN, IL 61554",North Central Region,TAZEWELL,Central Illinois,Male and Female,61554
86,FPC PENSACOLA,428,Not Suspended,2024-03-25 19:56:24 PDT,"110 RABY AVE, PENSACOLA, FL 32509",Southeast Region,ESCAMBIA,Northern Florida,Male,32509
87,FCI PETERSBURG MEDIUM,1700,Not Suspended,2024-03-25 19:56:40 PDT,"1060 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male,23860
88,FCI PETERSBURG LOW,667,Not Suspended,2024-03-25 19:56:55 PDT,"1100 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male,23860
89,FDC PHILADELPHIA,917,Not Suspended,2024-03-25 19:57:11 PDT,"700 ARCH STREET, PHILADELPHIA, PA 19106",Northeast Region,Philadelphia,Eastern Pennsylvania,Male and Female,19106
90,FCI PHOENIX,1157,Not Suspended,2024-03-25 19:57:27 PDT,"37900 N 45TH AVE, PHOENIX, AZ 85086",Western Region,Maricopa,Arizona,Male and Female,85086
91,FCI POLLOCK,1531,Not Suspended,2024-03-25 19:57:42 PDT,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,GRANT,Western Louisiana,Male,71467
92,USP POLLOCK,1119,Not Suspended,2024-03-25 19:57:58 PDT,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,Grant,Western Louisiana,Male,71467
93,FCI RAY BROOK,647,Not Suspended,2024-03-25 19:58:13 PDT,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Northeast Region,Essex,Northern New York,Male,12977
94,FMC ROCHESTER,646,Not Suspended,2024-03-25 19:58:29 PDT,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",North Central Region,OLMSTED,Minnesota,Male,55904
95,FCI SAFFORD,666,Not Suspended,2024-03-25 19:58:44 PDT,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Western Region,Graham,Arizona,Male,85546
96,MCC SAN DIEGO,623,Not Suspended,2024-03-25 19:59:00 PDT,"808 UNION STREET, SAN DIEGO, CA 92101",Western Region,San Diego,Southern California,Male and Female,92101
97,FCI SANDSTONE,1132,Not Suspended,2024-03-25 19:59:16 PDT,"2300 COUNTY RD 29, SANDSTONE, MN 55072",North Central Region,Pine,Minnesota,Male,55072
98,FCI SCHUYLKILL,1124,Suspended,2024-03-25 19:59:32 PDT,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Northeast Region,SCHUYLKILL,Middle Pennsylvania,Male,17954
99,FCI SEAGOVILLE,1698,Not Suspended,2024-03-25 19:59:47 PDT,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",South Central Region,Dallas,Northern Texas,Male,75159
100,FDC SEATAC,774,Not Suspended,2024-03-25 20:00:03 PDT,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Western Region,King,Western Washington,Male and Female,98198
101,FCI SHERIDAN,1618,Not Suspended,2024-03-25 20:00:18 PDT,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Western Region,YAMHILL,Oregon,Male,97378
102,MCFP SPRINGFIELD,969,Not Suspended,2024-03-25 20:00:34 PDT,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",North Central Region,GREENE,Western Missouri,Male,65807
103,FCI TALLADEGA,1126,Not Suspended,2024-03-25 20:00:49 PDT,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",Southeast Region,Talladega,Northern Alabama,Male,35160
104,FCI TALLAHASSEE,986,Not Suspended,2024-03-25 20:01:05 PDT,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Southeast Region,Leon,Northern Florida,Male and Female,32301
105,FCI TERMINAL ISLAND,941,Not Suspended,2024-03-25 20:01:20 PDT,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Western Region,LOS ANGELES,Central California,Male,90731
106,FCI TERRE HAUTE,1366,Not Suspended,2024-03-25 20:01:36 PDT,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",North Central Region,VIGO,Southern Indiana,Male,47808
107,USP TERRE HAUTE,1214,Not Suspended,2024-03-25 20:01:51 PDT,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",North Central Region,VIGO,Southern Indiana,Male,47802
108,FCI TEXARKANA,1218,Not Suspended,2024-03-25 20:02:07 PDT,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",South Central Region,Bowie,Eastern Texas,Male,75501
109,FCI THOMSON,1972,Not Suspended,2024-03-25 20:02:22 PDT,"1100 ONE MILE ROAD, THOMSON, IL 61285",North Central Region,CARROLL,Northern District of Illinois,Male,61285
110,FCI THREE RIVERS,1285,Not Suspended,2024-03-25 20:02:38 PDT,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",South Central Region,Live Oak,Southern Texas,Male,78071
111,FCI TUCSON,350,Not Suspended,2024-03-25 20:02:53 PDT,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male and Female,85756
112,USP TUCSON,1313,Not Suspended,2024-03-25 20:03:09 PDT,"9300 SOUTH WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male,85756
113,FCI VICTORVILLE MEDIUM I,1574,Suspended,2024-03-25 20:03:24 PDT,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male and Female,92394
114,FCI VICTORVILLE MEDIUM II,1458,Not Suspended,2024-03-25 20:03:39 PDT,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male,92394
115,USP VICTORVILLE,1248,Not Suspended,2024-03-25 20:03:55 PDT,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,San Bernardino,Central California,Male,92394
116,FCI WASECA,788,Not Suspended,2024-03-25 20:04:11 PDT,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",North Central Region,Waseca,Minnesota,Female,56093
117,FCI WILLIAMSBURG,1207,Not Suspended,2024-03-25 20:04:27 PDT,"8301 HIGHWAY 521, SALTERS, SC 29590",Southeast Region,Williamsburg,South Carolina,Male,29590
118,FPC YANKTON,410,Not Suspended,2024-03-25 20:04:42 PDT,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",North Central Region,Yankton,South Dakota,Male,57078
119,FCI YAZOO CITY MEDIUM,1277,Not Suspended,2024-03-25 20:04:58 PDT,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male,39194
120,FCI YAZOO CITY LOW,1364,Not Suspended,2024-03-25 20:05:13 PDT,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male,39194
121,USP YAZOO CITY,1501,Not Suspended,2024-03-25 20:05:29 PDT,"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male,39194
122,FPC ALDERSON,705,Not Suspended,2024-02-03 19:22:39 PST,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Mid-Atlantic Region,GREENBRIER,Southern West Virginia,Female,24910
123,FCI ALICEVILLE,1588,Not Suspended,2024-02-03 19:22:56 PST,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Southeast Region,PICKENS,Northern District of Alabama,Female,35442
124,FCI ALLENWOOD LOW,999,Not Suspended,2024-02-03 19:23:12 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,UNION,Middle Pennsylvania,Male,17810
125,FCI ALLENWOOD MEDIUM,1273,Suspended,2024-02-03 19:23:28 PST,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male,17810
126,USP ALLENWOOD,284,Not Suspended,2024-02-03 19:23:44 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male,17810
127,FCI ASHLAND,1303,Not Suspended,2024-02-03 19:24:00 PST,"ST. ROUTE 716, ASHLAND, KY 41105",Mid-Atlantic Region,BOYD,Eastern Kentucky,Male,41105
128,USP ATLANTA,1672,Not Suspended,2024-02-03 19:24:15 PST,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Southeast Region,FULTON,Northern Georgia,Male,30315
129,USP ATWATER,1189,Suspended,2024-02-03 19:24:31 PST,"1 FEDERAL WAY, ATWATER, CA 95301",Western Region,MERCED,Eastern California,Male,95301
130,FCI BASTROP,1064,Not Suspended,2024-02-03 19:24:47 PST,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",South Central Region,Bastrop,Western Texas,Male,78602
131,FCI BEAUMONT LOW,1990,Not Suspended,2024-02-03 19:25:03 PST,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
132,FCI BEAUMONT MEDIUM,1639,Not Suspended,2024-02-03 19:25:18 PST,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
133,USP BEAUMONT,1142,Not Suspended,2024-02-03 19:25:34 PST,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
134,FCI BECKLEY,1669,Suspended,2024-02-03 19:25:50 PST,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Mid-Atlantic Region,Raleigh,Southern West Virginia,Male,25813
135,FCI BENNETTSVILLE,1666,Not Suspended,2024-02-03 19:26:05 PST,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Southeast Region,Marlboro,South Carolina,Male,29512
136,FCI BERLIN,778,Not Suspended,2024-02-03 19:26:21 PST,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Northeast Region,COOS COUNTY,District of New Hampshire,Male,03570
137,USP BIG SANDY,1407,Not Suspended,2024-02-03 19:26:37 PST,"1197 AIRPORT ROAD, INEZ, KY 41224",Mid-Atlantic Region,Martin,Eastern Kentucky,Male,41224
138,FCI BIG SPRING,1052,Not Suspended,2024-02-03 19:26:53 PST,"1900 SIMLER AVE, BIG SPRING, TX 79720",South Central Region,HOWARD,Northern Texas,Male,79720
139,MDC BROOKLYN,1544,Not Suspended,2024-02-03 19:27:08 PST,"80 29TH STREET, BROOKLYN, NY 11232",Northeast Region,KINGS,Eastern New York,Male and Female,11232
140,FPC BRYAN,692,Not Suspended,2024-02-03 19:27:24 PST,"1100 URSULINE AVENUE, BRYAN, TX 77803",South Central Region,BRAZOS,Southern Texas,Female,77803
141,FCI BUTNER MEDIUM II,1404,Not Suspended,2024-02-03 19:27:40 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male,27509
142,FCI BUTNER LOW,962,Not Suspended,2024-02-03 19:27:56 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male,27509
143,FCI BUTNER MEDIUM I,877,Not Suspended,2024-02-03 19:28:11 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male,27509
