population,daily_high_temperature,daily_low_temperature,daily_precipitation,lockdown_percentage,gender_Male,gender_Male and Female,political_affiliation_purple,political_affiliation_red
1081.0,42.0,30.4,0.03,7.766990291262135,1,0,0,0
3917.0,48.9,32.7,0.0,0.0,1,0,0,0
416.0,84.6,74.1,43.13,0.0,1,0,1,0
681.0,62.9,56.9,0.04,0.0,0,1,0,0
1182.0,85.1,72.2,21.29,1.9417475728155338,1,0,1,0
724.0,63.1,52.0,0.02,0.0,0,1,0,0
1517.0,61.0,37.2,2.85,1.9417475728155338,1,0,1,0
874.0,57.6,40.5,0.0,2.912621359223301,1,0,1,0
1419.0,85.9,56.5,17.92,34.95145631067961,1,0,0,1
1620.0,63.8,48.2,0.0,4.854368932038835,1,0,0,1
1041.0,74.1,52.2,0.0,18.446601941747574,1,0,1,0
851.0,76.2,56.4,0.0,2.912621359223301,1,0,1,0
989.0,43.8,32.5,1.06,7.766990291262135,1,0,1,0
1150.0,56.7,52.0,49.78,1.9417475728155338,1,0,1,0
282.0,80.2,73.9,0.71,0.0,0,1,0,0
1968.0,5.3,-7.9,0.04,22.330097087378643,1,0,0,1
1115.0,52.5,45.5,23.5,6.796116504854369,1,0,0,1
1562.0,85.1,72.2,21.29,35.92233009708738,1,0,1,0
1411.0,105.6,63.9,0.0,37.86407766990291,1,0,1,0
1561.0,58.9,46.5,0.0,20.388349514563107,0,1,0,0
934.0,66.5,40.1,0.0,3.8834951456310676,1,0,1,0
1548.0,46.8,35.1,0.11,4.854368932038835,1,0,0,1
1029.0,41.7,29.0,0.08,1.9417475728155338,1,0,1,0
943.0,75.7,53.1,0.43,61.76470588235294,1,0,0,0
799.0,50.9,44.2,41.81,0.0,1,0,1,0
782.0,43.4,31.6,0.31,0.0,0,0,0,0
941.0,78.2,75.1,0.1,0.9708737864077669,0,1,1,0
1163.0,81.7,68.4,0.03,70.87378640776699,0,1,0,1
923.0,86.0,60.6,0.0,2.912621359223301,1,0,1,0
1071.0,43.8,21.2,0.0,7.766990291262135,1,0,0,0
1102.0,42.1,37.7,9.54,0.0,1,0,0,1
1248.0,38.1,29.9,5.17,1.9417475728155338,1,0,1,0
1197.0,71.9,53.2,0.17,18.446601941747574,1,0,1,0
1399.0,70.4,52.5,1.58,14.563106796116504,1,0,1,0
1668.0,62.3,42.8,0.0,25.24271844660194,1,0,0,1
732.0,47.3,25.7,0.0,0.0,0,0,0,0
1323.0,83.7,62.9,0.02,47.57281553398058,1,0,1,0
429.0,33.0,26.5,0.02,2.912621359223301,1,0,0,0
879.0,54.1,33.1,0.0,2.912621359223301,1,0,1,0
935.0,57.9,38.6,0.0,0.0,1,0,0,1
1453.0,62.7,50.1,0.0,0.0,1,0,1,0
1028.0,48.3,40.0,0.22,7.766990291262135,1,0,1,0
960.0,44.6,39.1,0.69,0.0,1,0,0,1
1677.0,63.4,44.8,0.0,18.446601941747574,1,0,1,0
1047.0,45.3,33.4,0.0,27.184466019417474,1,0,1,0
1321.0,64.6,43.2,5.66,4.854368932038835,0,1,0,0
1211.0,47.8,40.2,0.14,0.0,0,1,1,0
1505.0,92.7,67.8,0.0,0.0,1,0,0,1
953.0,59.3,56.2,0.34,0.0,1,0,0,0
2016.0,47.1,31.9,32.61,13.592233009708737,0,1,0,1
1430.0,62.7,43.4,0.06,11.650485436893204,1,0,1,0
1003.0,68.7,47.7,0.0,3.8834951456310676,0,1,1,0
1117.0,91.9,52.0,0.0,43.689320388349515,1,0,0,0
603.0,65.2,52.8,0.0,0.0,0,1,0,0
519.0,40.2,35.6,0.0,0.0,0,1,0,0
1675.0,50.9,29.7,4.92,32.038834951456316,1,0,0,1
1002.0,29.7,22.1,1.9,6.796116504854369,0,1,0,0
1129.0,36.8,21.4,0.0,11.650485436893204,1,0,1,0
940.0,66.9,41.6,0.0,6.796116504854369,0,1,0,0
1411.0,105.6,63.9,0.0,37.86407766990291,1,0,1,0
1214.0,60.1,42.3,0.0,4.854368932038835,1,0,0,1
2031.0,48.8,27.2,0.0,13.592233009708737,0,1,0,1
695.0,59.3,44.3,2.24,0.0,0,0,0,1
787.0,44.9,20.7,0.0,0.0,1,0,1,0
1492.0,73.9,62.4,14.15,0.0,1,0,0,1
1582.0,62.7,40.3,12.12,16.50485436893204,1,0,0,1
1212.0,56.1,34.4,0.0,0.0,1,0,1,0
1386.0,65.4,45.7,0.0,0.0,1,0,0,1
1558.0,61.2,39.4,0.0,0.0,1,0,1,0
