ds,yhat,title,zip,avgtemp_f,totalprecip_mm,lockdown_probability
2024-05-04 22:00:50,2063.3902479046865,FCI ATLANTA,30315,60.0,0.0,0.5031609762534844
2024-05-05 22:00:50,2096.8706274726173,FCI ATLANTA,30315,60.0,0.0,0.503522016167728
2024-05-06 22:00:50,2130.351006958618,FCI ATLANTA,30315,60.0,0.0,0.5038830524081898
2024-05-07 22:00:50,2163.83138652655,FCI ATLANTA,30315,60.0,0.0,0.5042440846001772
2024-05-08 22:00:50,2197.3117660944836,FCI ATLANTA,30315,60.0,0.0,0.5046051123663641
2024-05-01 22:01:06,1174.2317883226174,USP ATWATER,95301,61.9,0.0,0.49800505114447996
2024-05-02 22:01:06,1171.0460934572739,USP ATWATER,95301,60.0,0.0,0.4935382417051364
2024-05-03 22:01:06,1172.9300081448057,USP ATWATER,95301,60.0,0.0,0.4935585546635515
2024-05-04 22:01:06,1174.8296199423999,USP ATWATER,95301,60.0,0.0,0.4935790368946581
2024-05-05 22:01:06,1172.838216319594,USP ATWATER,95301,60.0,0.0,0.4935575649348392
2024-05-06 22:01:06,1173.8041356045717,USP ATWATER,95301,60.0,0.0,0.4935679797869249
2024-05-07 22:01:06,1173.7686385414204,USP ATWATER,95301,60.0,0.0,0.49356759704608566
2024-05-08 22:01:06,1176.2874864447986,USP ATWATER,95301,60.0,0.0,0.4935947560992018
2024-05-01 22:01:22,1081.8352158624407,FCI BASTROP,78602,75.0,4.75,0.5454820008175717
2024-05-02 22:01:22,1083.3824329270792,FCI BASTROP,78602,76.7,2.61,0.5413702677023103
2024-05-03 22:01:22,1079.970949857323,FCI BASTROP,78602,60.0,0.0,0.492556267678413
2024-05-04 22:01:22,1084.2576011085084,FCI BASTROP,78602,60.0,0.0,0.4926024852095765
2024-05-05 22:01:22,1084.7712152415986,FCI BASTROP,78602,60.0,0.0,0.49260802286875116
2024-05-06 22:01:22,1084.3847318905864,FCI BASTROP,78602,60.0,0.0,0.49260385590171596
2024-05-07 22:01:22,1085.7222564869012,FCI BASTROP,78602,60.0,0.0,0.4926182767624769
