title,population,operation_level,gender,judicial_district,county,bop_region,full_address,visiting_status,datetime_of_data
FCI OXFORD,920,,Male,Western Wisconsin,ADAMS,North Central Region,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",Not Suspended,2023-09-27 10:33:03 PDT
FCI PEKIN,1314,,Male and Female,Central Illinois,TAZEWELL,North Central Region,"2600 S. SECOND ST., PEKIN, IL 61554",Not Suspended,2023-09-27 10:33:11 PDT
FPC PENSACOLA,416,,Male,Northern Florida,ESCAMBIA,Southeast Region,"110 RABY AVE, PENSACOLA, FL 32509",Not Suspended,2023-09-27 10:33:19 PDT
FCI PETERSBURG MEDIUM,1714,,Male,Eastern Virginia,Hopewell City,Mid-Atlantic Region,"1060 RIVER ROAD, HOPEWELL, VA 23860",Not Suspended,2023-09-27 10:33:27 PDT
FCI PETERSBURG LOW,686,,Male,Eastern Virginia,Hopewell City,Mid-Atlantic Region,"1100 RIVER ROAD, HOPEWELL, VA 23860",Suspended,2023-09-27 10:33:35 PDT
FDC PHILADELPHIA,977,,Male and Female,Eastern Pennsylvania,Philadelphia,Northeast Region,"700 ARCH STREET, PHILADELPHIA, PA 19106",Not Suspended,2023-09-27 10:33:43 PDT
FCI PHOENIX,1239,,Male and Female,Arizona,Maricopa,Western Region,"37900 N 45TH AVE, PHOENIX, AZ 85086",Not Suspended,2023-09-27 10:33:51 PDT
FCI POLLOCK,1570,,Male,Western Louisiana,GRANT,South Central Region,"1000 AIRBASE ROAD, POLLOCK, LA 71467",Not Suspended,2023-09-27 10:33:59 PDT
USP POLLOCK,1191,,Male,Western Louisiana,Grant,South Central Region,"1000 AIRBASE ROAD, POLLOCK, LA 71467",Not Suspended,2023-09-27 10:34:07 PDT
FCI RAY BROOK,683,,Male,Northern New York,Essex,Northeast Region,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Not Suspended,2023-09-27 10:34:16 PDT
FMC ROCHESTER,589,,Male,Minnesota,OLMSTED,North Central Region,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",Not Suspended,2023-09-27 10:34:24 PDT
FCI SAFFORD,673,,Male,Arizona,Graham,Western Region,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Not Suspended,2023-09-27 10:34:32 PDT
MCC SAN DIEGO,713,,Male and Female,Southern California,San Diego,Western Region,"808 UNION STREET, SAN DIEGO, CA 92101",Not Suspended,2023-09-27 10:34:40 PDT
FCI SANDSTONE,1153,,Male,Minnesota,Pine,North Central Region,"2300 COUNTY RD 29, SANDSTONE, MN 55072",Not Suspended,2023-09-27 10:34:48 PDT
FCI SCHUYLKILL,1173,,Male,Middle Pennsylvania,SCHUYLKILL,Northeast Region,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Not Suspended,2023-09-27 10:34:56 PDT
FCI SEAGOVILLE,1815,,Male,Northern Texas,Dallas,South Central Region,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",Not Suspended,2023-09-27 10:35:04 PDT
FDC SEATAC,765,,Male and Female,Western Washington,King,Western Region,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Suspended,2023-09-27 10:35:12 PDT
FCI SHERIDAN,1574,,Male,Oregon,YAMHILL,Western Region,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Not Suspended,2023-09-27 10:35:20 PDT
FCI TALLAHASSEE,914,,Male and Female,Northern Florida,Leon,Southeast Region,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Not Suspended,2023-09-27 10:35:45 PDT
FCI TERMINAL ISLAND,929,,Male,Central California,LOS ANGELES,Western Region,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Not Suspended,2023-09-27 10:35:53 PDT
FCI TERRE HAUTE,1473,,Male,Southern Indiana,VIGO,North Central Region,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",Not Suspended,2023-09-27 10:36:01 PDT
USP TERRE HAUTE,1153,,Male,Southern Indiana,VIGO,North Central Region,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",Not Suspended,2023-09-27 10:36:09 PDT
FCI TEXARKANA,1256,,Male,Eastern Texas,Bowie,South Central Region,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",Not Suspended,2023-09-27 10:36:17 PDT
USP THOMSON,1297,,Male,Northern District of Illinois,CARROLL,North Central Region,"1100 ONE MILE ROAD, THOMSON, IL 61285",Not Suspended,2023-09-27 10:36:25 PDT
FCI TUCSON,357,,Male and Female,Arizona,PIMA,Western Region,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Not Suspended,2023-09-27 10:36:44 PDT
FCI VICTORVILLE MEDIUM I,1642,,Male and Female,Central California,SAN BERNARDINO,Western Region,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Suspended,2023-09-27 10:37:01 PDT
FPC ALDERSON,713,,Female,Southern West Virginia,GREENBRIER,Mid-Atlantic Region,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Not Suspended,2024-01-09 10:09:23 PST
FCI ALICEVILLE,1583,,Female,Northern District of Alabama,PICKENS,Southeast Region,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Not Suspended,2024-01-09 10:09:39 PST
FCI ALLENWOOD LOW,1016,,Male,Middle Pennsylvania,UNION,Northeast Region,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Not Suspended,2024-01-09 10:09:55 PST
FCI ALLENWOOD MEDIUM,1287,,Male,Middle Pennsylvania,Union,Northeast Region,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Not Suspended,2024-01-09 10:10:10 PST
USP ALLENWOOD,304,,Male,Middle Pennsylvania,Union,Northeast Region,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Not Suspended,2024-01-09 10:10:26 PST
FCI ASHLAND,1313,,Male,Eastern Kentucky,BOYD,Mid-Atlantic Region,"ST. ROUTE 716, ASHLAND, KY 41105",Not Suspended,2024-01-09 10:10:41 PST
USP ATLANTA,1794,,Male,Northern Georgia,FULTON,Southeast Region,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Not Suspended,2024-01-09 10:10:56 PST
