title,population,operation_level,gender,judicial_district,county,bop_region,full_address,visiting_status,datetime_of_data
FPC ALDERSON,762,No Longer Available,Female,Southern West Virginia,GREENBRIER,Mid-Atlantic Region,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Not Suspended,2024-11-27 09:44:00 PST
FCI ALICEVILLE,"1,596",No Longer Available,Female,Northern District of Alabama,PICKENS,Southeast Region,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Suspended,2024-11-27 09:44:21 PST
FCI ALLENWOOD LOW,"1,046",No Longer Available,Male,Middle Pennsylvania,UNION,Northeast Region,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Not Suspended,2024-11-27 09:44:37 PST
FCI ALLENWOOD MEDIUM,"1,248",No Longer Available,Male,Middle Pennsylvania,Union,Northeast Region,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Not Suspended,2024-11-27 09:44:54 PST
USP ALLENWOOD,240,No Longer Available,Male,Middle Pennsylvania,Union,Northeast Region,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Not Suspended,2024-11-27 09:45:10 PST
FCI ASHLAND,"1,329",No Longer Available,Male,Eastern Kentucky,BOYD,Mid-Atlantic Region,"ST. ROUTE 716, ASHLAND, KY 41105",Not Suspended,2024-11-27 09:45:26 PST
FCI ATLANTA,"1,828",No Longer Available,Male,Northern Georgia,FULTON,Southeast Region,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Not Suspended,2024-11-27 09:45:42 PST
USP ATWATER,"1,219",No Longer Available,Male,Eastern California,MERCED,Western Region,"1 FEDERAL WAY, ATWATER, CA 95301",Suspended,2024-11-27 09:45:58 PST
FCI BASTROP,"1,123",No Longer Available,Male,Western Texas,Bastrop,South Central Region,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",Not Suspended,2024-11-27 09:46:14 PST
FCI BEAUMONT LOW,"2,155",No Longer Available,Male,Eastern Texas,Jefferson,South Central Region,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-11-27 09:46:30 PST
FCI BEAUMONT MEDIUM,"1,479",No Longer Available,Male,Eastern Texas,Jefferson,South Central Region,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-11-27 09:46:45 PST
USP BEAUMONT,"1,406",No Longer Available,Male,Eastern Texas,Jefferson,South Central Region,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-11-27 09:47:01 PST
FCI BECKLEY,"1,679",No Longer Available,Male,Southern West Virginia,Raleigh,Mid-Atlantic Region,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Not Suspended,2024-11-27 09:47:22 PST
FCI BENNETTSVILLE,"1,555",No Longer Available,Male,South Carolina,Marlboro,Southeast Region,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Not Suspended,2024-11-27 09:47:38 PST
FCI BERLIN,975,No Longer Available,Male,District of New Hampshire,COOS COUNTY,Northeast Region,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Not Suspended,2024-11-27 09:47:54 PST
USP BIG SANDY,"1,256",No Longer Available,Male,Eastern Kentucky,Martin,Mid-Atlantic Region,"1197 AIRPORT ROAD, INEZ, KY 41224",Not Suspended,2024-11-27 09:48:10 PST
FCI BIG SPRING,657,No Longer Available,Male,Northern Texas,HOWARD,South Central Region,"1900 SIMLER AVE, BIG SPRING, TX 79720",Not Suspended,2024-11-27 09:48:26 PST
MDC BROOKLYN,"1,137",No Longer Available,Male and Female,Eastern New York,KINGS,Northeast Region,"80 29TH STREET, BROOKLYN, NY 11232",Not Suspended,2024-11-27 09:48:42 PST
FPC BRYAN,638,No Longer Available,Female,Southern Texas,BRAZOS,South Central Region,"1100 URSULINE AVENUE, BRYAN, TX 77803",Not Suspended,2024-11-27 09:48:58 PST
FCI BUTNER MEDIUM II,"1,579",No Longer Available,Male,Eastern North Carolina,GRANVILLE,Mid-Atlantic Region,"OLD NC HWY 75, BUTNER, NC 27509",Not Suspended,2024-11-27 09:49:16 PST
FCI BUTNER LOW,986,No Longer Available,Male,Eastern North Carolina,GRANVILLE,Mid-Atlantic Region,"OLD NC HWY 75, BUTNER, NC 27509",Not Suspended,2024-11-27 09:49:32 PST
FCI BUTNER MEDIUM I,800,No Longer Available,Male,Eastern North Carolina,GRANVILLE,Mid-Atlantic Region,"OLD NC HWY 75, BUTNER, NC 27509",Not Suspended,2024-11-27 09:49:48 PST
FMC BUTNER,849,No Longer Available,Male,Eastern North Carolina,Granville,Mid-Atlantic Region,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Not Suspended,2024-11-27 09:50:04 PST
USP CANAAN,"1,378",No Longer Available,Male,Middle Pennsylvania,WAYNE,Northeast Region,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Not Suspended,2024-11-27 09:50:20 PST
FMC CARSWELL,"1,228",No Longer Available,Female,Northern Texas,,South Central Region,"NAVAL AIR STATION, FORT WORTH, TX 76114",Not Suspended,2024-11-27 09:50:36 PST
MCC CHICAGO,490,No Longer Available,Male and Female,Northern Illinois,COOK,North Central Region,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",Not Suspended,2024-11-27 09:51:06 PST
FCI COLEMAN LOW,"2,015",No Longer Available,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Not Suspended,2024-11-27 09:51:22 PST
FCI COLEMAN MEDIUM,"1,508",No Longer Available,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Not Suspended,2024-11-27 09:51:46 PST
USP COLEMAN II,"1,075",No Longer Available,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Not Suspended,2024-11-27 09:52:03 PST
USP COLEMAN I,"1,318",No Longer Available,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Suspended,2024-11-27 09:52:28 PST
FCI CUMBERLAND,"1,011",No Longer Available,Male,Maryland,Allegany,Mid-Atlantic Region,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Not Suspended,2024-11-27 09:52:46 PST
FCI DANBURY,"1,278",No Longer Available,Male and Female,Connecticut,FAIRFIELD,Northeast Region,"33 1/2 PEMBROKE STATION, DANBURY, CT 06811",Not Suspended,2024-11-27 09:53:12 PST
FMC DEVENS,"1,114",No Longer Available,Male,Massachusetts,MIDDLESEX,Northeast Region,"42 PATTON ROAD, AYER, MA 01432",Suspended,2024-11-27 09:53:29 PST
FCI DUBLIN,0,No Longer Available,Female,Northern California,Alameda,Western Region,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",Suspended,2024-11-27 09:53:57 PST
FPC DULUTH,736,No Longer Available,Male,Minnesota,SAINT LOUIS,North Central Region,"4464 RALSTON DRIVE, DULUTH, MN 55811",Not Suspended,2024-11-27 09:54:14 PST
FCI EDGEFIELD,"1,841",No Longer Available,Male,South Carolina,Edgefield,Southeast Region,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",Not Suspended,2024-11-27 09:54:38 PST
FCI EL RENO,"1,168",No Longer Available,Male,Western Oklahoma,CANADIAN,South Central Region,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",Not Suspended,2024-11-27 09:54:55 PST
FCI ELKTON,"1,981",No Longer Available,Male,Northern Ohio,COLUMBIANA,Northeast Region,"8730 SCROGGS ROAD, LISBON, OH 44432",Not Suspended,2024-11-27 09:55:19 PST
FCI ENGLEWOOD,986,No Longer Available,Male,Colorado,JEFFERSON,North Central Region,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",Not Suspended,2024-11-27 09:55:35 PST
FCI ESTILL,56,No Longer Available,Male,South Carolina,HAMPTON,Southeast Region,"100 PRISON ROAD, ESTILL, SC 29918",Not Suspended,2024-11-27 09:55:57 PST
FCI FAIRTON,816,No Longer Available,Male,New Jersey,Cumberland,Northeast Region,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",Not Suspended,2024-11-27 09:56:13 PST
FCI FLORENCE,"1,436",No Longer Available,Male,Colorado,Fremont,North Central Region,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",Suspended,2024-11-27 09:56:39 PST
USP FLORENCE ADMAX,339,No Longer Available,Male,Colorado,Fremont,North Central Region,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",Not Suspended,2024-11-27 09:56:55 PST
USP FLORENCE - HIGH,804,No Longer Available,Male,Colorado,Fremont,North Central Region,"5880 HWY 67 S, FLORENCE, CO 81226",Suspended,2024-11-27 09:57:19 PST
FCI FORREST CITY MEDIUM,"1,631",No Longer Available,Male,Eastern Arkansas,SAINT FRANCIS,South Central Region,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",Not Suspended,2024-11-27 09:57:36 PST
FCI FORREST CITY LOW,"1,865",No Longer Available,Male,Eastern Arkansas,SAINT FRANCIS,South Central Region,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",Not Suspended,2024-11-27 09:57:59 PST
FCI FORT DIX,"4,002",No Longer Available,Male,New Jersey,BURLINGTON,Northeast Region,"5756 HARTFORD &, JOINT BASE MDL, NJ 08640",Not Suspended,2024-11-27 09:58:15 PST
FMC FORT WORTH,"1,544",No Longer Available,Male,Northern Texas,Tarrant,South Central Region,"3150 HORTON ROAD, FORT WORTH, TX 76119",Not Suspended,2024-11-27 09:58:40 PST
FCI GILMER,"1,081",No Longer Available,Male,Northern West Virginia,GILMER,Mid-Atlantic Region,"201 FCI LANE, GLENVILLE, WV 26351",Not Suspended,2024-11-27 09:58:57 PST
FCI GREENVILLE,"1,302",No Longer Available,Male and Female,Southern Illinois,Bond,North Central Region,"100 U.S. HWY 40, GREENVILLE, IL 62246",Not Suspended,2024-11-27 09:59:23 PST
MDC GUAYNABO,"1,115",No Longer Available,Male and Female,"Puerto Rico, U.S. Virgin Islands",GUAYNABO,Southeast Region,"652 CARRETERA 28, GUAYNABO, PR 00965",Not Suspended,2024-11-27 09:59:41 PST
FCI HAZELTON,"2,033",No Longer Available,Male and Female,Northern District of West Virginia,PRESTON,Mid-Atlantic Region,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Not Suspended,2024-11-27 10:00:07 PST
USP HAZELTON,"1,441",No Longer Available,Male,Northern District of West Virginia,PRESTON,Mid-Atlantic Region,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Not Suspended,2024-11-27 10:00:23 PST
FCI HERLONG,"1,340",No Longer Available,Male,Eastern California,Lassen,Western Region,"741-925 ACCESS ROAD A-25, HERLONG, CA 96113",Suspended,2024-11-27 10:00:45 PST
FDC HONOLULU,215,No Longer Available,Male and Female,Hawaii,Honolulu,Western Region,"351 ELLIOTT ST, HONOLULU, HI 96819",Not Suspended,2024-11-27 10:01:03 PST
FDC HOUSTON,876,No Longer Available,Male and Female,Southern Texas,Harris,South Central Region,"1200 TEXAS AVENUE, HOUSTON, TX 77002",Not Suspended,2024-11-27 10:01:19 PST
FCI JESUP,"1,655",No Longer Available,Male,Southern Georgia,,Southeast Region,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",Not Suspended,2024-11-27 10:01:47 PST
FCI LA TUNA,789,No Longer Available,Male,Western Texas,EL PASO,South Central Region,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",Not Suspended,2024-11-27 10:02:05 PST
FCI LEAVENWORTH,"1,729",No Longer Available,Male,Kansas,Leavenworth,North Central Region,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",Not Suspended,2024-11-27 10:02:33 PST
USP LEE,"1,353",No Longer Available,Male,Western Virginia,Lee,Mid-Atlantic Region,"LEE COUNTY INDUSTRIAL PARK, PENNINGTON GAP, VA 24277",Suspended,2024-11-27 10:02:50 PST
FCI LEWISBURG,983,No Longer Available,Male,Middle Pennsylvania,UNION,Northeast Region,"2400 ROBERT F. MILLER DRIVE, LEWISBURG, PA 17837",Not Suspended,2024-11-27 10:03:14 PST
FMC LEXINGTON,"1,292",No Longer Available,Male and Female,Eastern Kentucky,Fayette,Mid-Atlantic Region,"3301 LEESTOWN ROAD, LEXINGTON, KY 40511",Not Suspended,2024-11-27 10:03:32 PST
FCI LOMPOC I,883,No Longer Available,Male,Central California,SANTA BARBARA,Western Region,"3600 GUARD ROAD, LOMPOC, CA 93436",Not Suspended,2024-11-27 10:03:59 PST
FCI LOMPOC II,"2,055",No Longer Available,Male,Central California,SANTA BARBARA,Western Region,"3901 KLEIN BLVD, LOMPOC, CA 93436",Not Suspended,2024-11-27 10:04:16 PST
FCI LORETTO,859,No Longer Available,Male,Western Pennsylvania,CAMBRIA,Northeast Region,"772 SAINT JOSEPH ST., LORETTO, PA 15940",Not Suspended,2024-11-27 10:04:43 PST
MDC LOS ANGELES,773,No Longer Available,Male and Female,Central California,Los Angeles,Western Region,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",Not Suspended,2024-11-27 10:05:01 PST
FCI MANCHESTER,"1,127",No Longer Available,Male,Eastern Kentucky,Clay,Mid-Atlantic Region,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",Suspended,2024-11-27 10:05:27 PST
FCI MARIANNA,"1,187",No Longer Available,Male and Female,Northern Florida,Jackson,Southeast Region,"3625 FCI ROAD, MARIANNA, FL 32446",Suspended,2024-11-27 10:05:44 PST
FCI MARION,"1,244",No Longer Available,Male,Southern Illinois,Williamson,North Central Region,"4500 PRISON ROAD, MARION, IL 62959",Not Suspended,2024-11-27 10:06:11 PST
USP MCCREARY,"1,452",No Longer Available,Male,Eastern Kentucky,McCreary,Mid-Atlantic Region,"330 FEDERAL WAY, PINE KNOT, KY 42635",Not Suspended,2024-11-27 10:06:27 PST
FCI MCDOWELL,"1,594",No Longer Available,Male,Southern West Virginia,MCDOWELL,Mid-Atlantic Region,"101 FEDERAL DRIVE, WELCH, WV 24801",Suspended,2024-11-27 10:06:54 PST
FCI MCKEAN,"1,130",No Longer Available,Male,Western Pennsylvania,MCKEAN,Northeast Region,"6975 ROUTE 59, LEWIS RUN, PA 16738",Not Suspended,2024-11-27 10:07:11 PST
FCI MEMPHIS,"1,155",No Longer Available,Male,Western Tennessee,SHELBY,Mid-Atlantic Region,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",Suspended,2024-11-27 10:07:34 PST
FCI MENDOTA,899,No Longer Available,Male,Eastern District of California,FRESNO,Western Region,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",Not Suspended,2024-11-27 10:07:51 PST
FCI MIAMI,"1,019",No Longer Available,Male,Southern Florida,Miami-Dade,Southeast Region,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Not Suspended,2024-11-27 10:08:16 PST
FDC MIAMI,"1,132",No Longer Available,Male and Female,Southern Florida,Miami-Dade,Southeast Region,"33 NE 4TH STREET, MIAMI, FL 33132",Not Suspended,2024-11-27 10:08:33 PST
FCI MILAN,"1,580",No Longer Available,Male,Eastern Michigan,WASHTENAW,North Central Region,"4004 EAST ARKONA ROAD, MILAN, MI 48160",Not Suspended,2024-11-27 10:08:59 PST
FPC MONTGOMERY,786,No Longer Available,Male,Middle Alabama,MONTGOMERY,Southeast Region,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Not Suspended,2024-11-27 10:09:16 PST
FPC MORGANTOWN,391,No Longer Available,Male,Northern West Virginia,Monongalia,Mid-Atlantic Region,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Not Suspended,2024-11-27 10:09:42 PST
MCC NEW YORK,0,No Longer Available,Male,Southern New York,New York,Northeast Region,"150 PARK ROW, NEW YORK, NY 10007",Suspended,2024-11-27 10:09:58 PST
FCI OAKDALE II,"1,165",No Longer Available,Male,Western Louisiana,ALLEN,South Central Region,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",Not Suspended,2024-11-27 10:10:26 PST
FCI OAKDALE I,998,No Longer Available,Male,Western Louisiana,ALLEN,South Central Region,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",Not Suspended,2024-11-27 10:10:44 PST
FTC OKLAHOMA CITY,"1,364",No Longer Available,Male and Female,Western Oklahoma,OKLAHOMA,South Central Region,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",Not Suspended,2024-11-27 10:11:11 PST
FCI OTISVILLE,914,No Longer Available,Male,Southern New York,ORANGE,Northeast Region,"TWO MILE DRIVE, OTISVILLE, NY 10963",Not Suspended,2024-11-27 10:11:28 PST
FCI OXFORD,"1,153",No Longer Available,Male,Western Wisconsin,ADAMS,North Central Region,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",Not Suspended,2024-11-27 10:11:44 PST
FCI PEKIN,"1,274",No Longer Available,Male and Female,Central Illinois,TAZEWELL,North Central Region,"2600 S. SECOND ST., PEKIN, IL 61554",Not Suspended,2024-11-27 10:12:00 PST
FPC PENSACOLA,511,No Longer Available,Male,Northern Florida,ESCAMBIA,Southeast Region,"110 RABY AVE, PENSACOLA, FL 32509",Not Suspended,2024-11-27 10:12:16 PST
FCI PETERSBURG MEDIUM,"1,641",No Longer Available,Male,Eastern Virginia,Hopewell City,Mid-Atlantic Region,"1060 RIVER ROAD, HOPEWELL, VA 23860",Not Suspended,2024-11-27 10:12:44 PST
FCI PETERSBURG LOW,600,No Longer Available,Male,Eastern Virginia,Hopewell City,Mid-Atlantic Region,"1100 RIVER ROAD, HOPEWELL, VA 23860",Not Suspended,2024-11-27 10:13:01 PST
FDC PHILADELPHIA,861,No Longer Available,Male and Female,Eastern Pennsylvania,Philadelphia,Northeast Region,"700 ARCH STREET, PHILADELPHIA, PA 19106",Not Suspended,2024-11-27 10:13:29 PST
FCI PHOENIX,"1,233",No Longer Available,Male and Female,Arizona,Maricopa,Western Region,"37900 N 45TH AVE, PHOENIX, AZ 85086",Not Suspended,2024-11-27 10:13:46 PST
FCI POLLOCK,"1,738",No Longer Available,Male,Western Louisiana,GRANT,South Central Region,"1000 AIRBASE ROAD, POLLOCK, LA 71467",Not Suspended,2024-11-27 10:14:14 PST
USP POLLOCK,968,No Longer Available,Male,Western Louisiana,Grant,South Central Region,"1000 AIRBASE ROAD, POLLOCK, LA 71467",Not Suspended,2024-11-27 10:14:40 PST
FCI RAY BROOK,771,No Longer Available,Male,Northern New York,Essex,Northeast Region,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Suspended,2024-11-27 10:15:08 PST
FMC ROCHESTER,781,No Longer Available,Male,Minnesota,OLMSTED,North Central Region,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",Not Suspended,2024-11-27 10:15:25 PST
FCI SAFFORD,673,No Longer Available,Male,Arizona,Graham,Western Region,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Suspended,2024-11-27 10:15:51 PST
MCC SAN DIEGO,708,No Longer Available,Male and Female,Southern California,San Diego,Western Region,"808 UNION STREET, SAN DIEGO, CA 92101",Not Suspended,2024-11-27 10:16:08 PST
FCI SANDSTONE,"1,187",No Longer Available,Male,Minnesota,Pine,North Central Region,"2300 COUNTY RD 29, SANDSTONE, MN 55072",Not Suspended,2024-11-27 10:16:37 PST
FCI SCHUYLKILL,"1,184",No Longer Available,Male,Middle Pennsylvania,SCHUYLKILL,Northeast Region,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Not Suspended,2024-11-27 10:16:54 PST
FCI SEAGOVILLE,"1,738",No Longer Available,Male,Northern Texas,Dallas,South Central Region,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",Not Suspended,2024-11-27 10:17:22 PST
FDC SEATAC,656,No Longer Available,Male and Female,Western Washington,King,Western Region,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Not Suspended,2024-11-27 10:17:38 PST
FCI SHERIDAN,"1,543",No Longer Available,Male,Oregon,YAMHILL,Western Region,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Not Suspended,2024-11-27 10:17:56 PST
MCFP SPRINGFIELD,"1,110",No Longer Available,Male,Western Missouri,GREENE,North Central Region,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",Not Suspended,2024-11-27 10:18:25 PST
FCI TALLADEGA,"1,175",No Longer Available,Male,Northern Alabama,Talladega,Southeast Region,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",Not Suspended,2024-11-27 10:18:42 PST
FCI TALLAHASSEE,"1,193",No Longer Available,Male and Female,Northern Florida,Leon,Southeast Region,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Not Suspended,2024-11-27 10:19:11 PST
FCI TERMINAL ISLAND,941,No Longer Available,Male,Central California,LOS ANGELES,Western Region,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Not Suspended,2024-11-27 10:19:29 PST
FCI TERRE HAUTE,"1,468",No Longer Available,Male,Southern Indiana,VIGO,North Central Region,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",Not Suspended,2024-11-27 10:19:58 PST
USP TERRE HAUTE,"1,346",No Longer Available,Male,Southern Indiana,VIGO,North Central Region,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",Not Suspended,2024-11-27 10:20:16 PST
FCI TEXARKANA,"1,344",No Longer Available,Male,Eastern Texas,Bowie,South Central Region,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",Not Suspended,2024-11-27 10:20:42 PST
FCI THOMSON,"2,073",No Longer Available,Male,Northern District of Illinois,CARROLL,North Central Region,"1100 ONE MILE ROAD, THOMSON, IL 61285",Not Suspended,2024-11-27 10:21:00 PST
FCI THREE RIVERS,"1,177",No Longer Available,Male,Southern Texas,Live Oak,South Central Region,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",Not Suspended,2024-11-27 10:21:30 PST
FCI TUCSON,430,No Longer Available,Male and Female,Arizona,PIMA,Western Region,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Suspended,2024-11-27 10:21:47 PST
USP TUCSON,"1,076",No Longer Available,Male,Arizona,PIMA,Western Region,"9300 SOUTH WILMOT ROAD, TUCSON, AZ 85756",Not Suspended,2024-11-27 10:22:15 PST
FCI VICTORVILLE MEDIUM I,"1,730",No Longer Available,Male and Female,Central California,SAN BERNARDINO,Western Region,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Not Suspended,2024-11-27 10:22:32 PST
FCI VICTORVILLE MEDIUM II,"1,502",No Longer Available,Male,Central California,SAN BERNARDINO,Western Region,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Not Suspended,2024-11-27 10:22:59 PST
USP VICTORVILLE,"1,179",No Longer Available,Male,Central California,San Bernardino,Western Region,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Suspended,2024-11-27 10:23:16 PST
FCI WASECA,756,No Longer Available,Female,Minnesota,Waseca,North Central Region,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",Not Suspended,2024-11-27 10:23:47 PST
FCI WILLIAMSBURG,"1,297",No Longer Available,Male,South Carolina,Williamsburg,Southeast Region,"8301 HIGHWAY 521, SALTERS, SC 29590",Not Suspended,2024-11-27 10:24:04 PST
FPC YANKTON,461,No Longer Available,Male,South Dakota,Yankton,North Central Region,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",Not Suspended,2024-11-27 10:24:32 PST
FCI YAZOO CITY LOW II,"1,422",No Longer Available,Male,Southern Mississippi,YAZOO,Southeast Region,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Not Suspended,2024-11-27 10:24:49 PST
FCI YAZOO CITY LOW,"1,479",No Longer Available,Male,Southern Mississippi,YAZOO,Southeast Region,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Not Suspended,2024-11-27 10:25:15 PST
FCI YAZOO CITY MEDIUM,"1,365",No Longer Available,Male,Southern Mississippi,YAZOO,Southeast Region,"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",Not Suspended,2024-11-27 10:25:33 PST
FPC ALDERSON,762,No Longer Available,Female,Southern West Virginia,GREENBRIER,Mid-Atlantic Region,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Not Suspended,2024-11-26 19:20:48 PST
FCI ALICEVILLE,"1,596",No Longer Available,Female,Northern District of Alabama,PICKENS,Southeast Region,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Suspended,2024-11-26 19:21:09 PST
FCI ALLENWOOD LOW,"1,046",No Longer Available,Male,Middle Pennsylvania,UNION,Northeast Region,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Not Suspended,2024-11-26 19:21:26 PST
FCI ALLENWOOD MEDIUM,"1,248",No Longer Available,Male,Middle Pennsylvania,Union,Northeast Region,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Not Suspended,2024-11-26 19:21:41 PST
USP ALLENWOOD,240,No Longer Available,Male,Middle Pennsylvania,Union,Northeast Region,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Not Suspended,2024-11-26 19:21:56 PST
FCI ASHLAND,"1,329",No Longer Available,Male,Eastern Kentucky,BOYD,Mid-Atlantic Region,"ST. ROUTE 716, ASHLAND, KY 41105",Not Suspended,2024-11-26 19:22:12 PST
FCI ATLANTA,"1,828",No Longer Available,Male,Northern Georgia,FULTON,Southeast Region,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Not Suspended,2024-11-26 19:22:28 PST
USP ATWATER,"1,219",No Longer Available,Male,Eastern California,MERCED,Western Region,"1 FEDERAL WAY, ATWATER, CA 95301",Suspended,2024-11-26 19:22:44 PST
FCI BASTROP,"1,123",No Longer Available,Male,Western Texas,Bastrop,South Central Region,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",Not Suspended,2024-11-26 19:23:00 PST
FCI BEAUMONT LOW,"2,155",No Longer Available,Male,Eastern Texas,Jefferson,South Central Region,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-11-26 19:23:16 PST
FCI BEAUMONT MEDIUM,"1,479",No Longer Available,Male,Eastern Texas,Jefferson,South Central Region,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-11-26 19:23:33 PST
USP BEAUMONT,"1,406",No Longer Available,Male,Eastern Texas,Jefferson,South Central Region,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-11-26 19:23:49 PST
FCI BECKLEY,"1,679",No Longer Available,Male,Southern West Virginia,Raleigh,Mid-Atlantic Region,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Not Suspended,2024-11-26 19:24:05 PST
FCI BENNETTSVILLE,"1,555",No Longer Available,Male,South Carolina,Marlboro,Southeast Region,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Not Suspended,2024-11-26 19:24:21 PST
FCI BERLIN,975,No Longer Available,Male,District of New Hampshire,COOS COUNTY,Northeast Region,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Not Suspended,2024-11-26 19:24:37 PST
USP BIG SANDY,"1,256",No Longer Available,Male,Eastern Kentucky,Martin,Mid-Atlantic Region,"1197 AIRPORT ROAD, INEZ, KY 41224",Not Suspended,2024-11-26 19:24:53 PST
FCI BIG SPRING,657,No Longer Available,Male,Northern Texas,HOWARD,South Central Region,"1900 SIMLER AVE, BIG SPRING, TX 79720",Not Suspended,2024-11-26 19:25:09 PST
MDC BROOKLYN,"1,137",No Longer Available,Male and Female,Eastern New York,KINGS,Northeast Region,"80 29TH STREET, BROOKLYN, NY 11232",Not Suspended,2024-11-26 19:25:26 PST
